Step,stellar-sweep-90,eager-sweep-89,eager-sweep-88,azure-sweep-87,lunar-sweep-86,volcanic-sweep-85,fast-sweep-84,magic-sweep-83,likely-sweep-82,effortless-sweep-81,snowy-sweep-80,fluent-sweep-79,ruby-sweep-78,firm-sweep-77,hardy-sweep-76,scarlet-sweep-75,hardy-sweep-74,decent-sweep-73,fine-sweep-71,dashing-sweep-72,true-sweep-70,smart-sweep-69,swept-sweep-68,scarlet-sweep-67,sage-sweep-66,legendary-sweep-65,playful-sweep-64,deft-sweep-63,chocolate-sweep-62,worthy-sweep-61,fluent-sweep-60,elated-sweep-59,northern-sweep-58,faithful-sweep-57,fine-sweep-56,sandy-sweep-55,woven-sweep-54,glamorous-sweep-53,tough-sweep-52,hopeful-sweep-51,light-sweep-50,glad-sweep-49,sweepy-sweep-48,brisk-sweep-47,solar-sweep-46,trim-sweep-45,classic-sweep-44,serene-sweep-43,avid-sweep-42,dry-sweep-41,eternal-sweep-40,likely-sweep-39,fancy-sweep-38,sweet-sweep-37,dazzling-sweep-36,lucky-sweep-35,sweet-sweep-34,honest-sweep-33,rich-sweep-32,usual-sweep-31,summer-sweep-30,breezy-sweep-29,earnest-sweep-27,radiant-sweep-28,deep-sweep-26,unique-sweep-25,absurd-sweep-24,absurd-sweep-23,playful-sweep-22,worthy-sweep-21,still-sweep-20,atomic-sweep-19,copper-sweep-18,young-sweep-17,dandy-sweep-16,fluent-sweep-15,earthy-sweep-14,fresh-sweep-13,likely-sweep-12,snowy-sweep-11,summer-sweep-9,ethereal-sweep-8,true-sweep-10,peachy-sweep-6,honest-sweep-7,misunderstood-sweep-5,golden-sweep-3,dauntless-sweep-4,vibrant-sweep-2,dry-sweep-1
0,0.11072840541601181,0.1146559938788414,0.20746813714504242,0.11646396666765213,0.1569281667470932,0.13589602708816528,0.08496083319187164,0.13301868736743927,0.21277488768100739,0.11930213868618011,0.1343330591917038,0.16436418890953064,0.14747187495231628,0.10834281891584396,0.16180112957954407,0.11890321224927902,0.16207681596279144,0.19832296669483185,0.1504356861114502,0.11937063187360764,0.18848690390586853,0.11689741909503937,0.09662572294473648,0.21365226805210114,0.11772137135267258,0.12843875586986542,0.1721542477607727,0.14412525296211243,0.1212359368801117,0.17661114037036896,0.1151246726512909,0.144073024392128,0.23660460114479065,0.13495801389217377,0.1654217392206192,0.21668276190757751,0.11096793413162231,0.1466340869665146,0.24659836292266846,0.13773928582668304,0.16418059170246124,0.20625081658363342,0.13012483716011047,0.1400284618139267,0.2701636254787445,0.11146602779626846,0.19714529812335968,0.22234779596328735,0.12191697955131531,0.17893540859222412,0.2460511028766632,0.13524053990840912,0.12349721044301987,0.2686498463153839,0.1317671537399292,0.1661258488893509,0.27078869938850403,0.1721654236316681,0.15682847797870636,0.21981662511825562,0.2555188834667206,0.2947201430797577,0.24576391279697418,0.34271401166915894,0.30839985609054565,0.34001976251602173,0.2491273134946823,0.2816894054412842,0.35332807898521423,0.24787917733192444,0.2934390902519226,0.3282574713230133,0.2548080384731293,0.3202285170555115,0.34274691343307495,0.2539665699005127,0.3294425904750824,0.3068259358406067,0.24101030826568604,0.28749290108680725,0.2586118280887604,0.2895456850528717,0.3331557512283325,0.25893521308898926,0.37690457701683044,0.3015158474445343,0.2525368928909302,0.33385223150253296,0.2989000082015991,0.3604750335216522
1,0.06187763810157776,0.07368244975805283,0.10209163278341293,0.07761584967374802,0.07172198593616486,0.0928281620144844,0.0467839278280735,0.08148052543401718,0.10557545721530914,0.06624458730220795,0.09859554469585419,0.08692769706249237,0.06609254330396652,0.07330641150474548,0.07231016457080841,0.06630618870258331,0.07187045365571976,0.09334716200828552,0.07456541806459427,0.05771905556321144,0.10210388153791428,0.062039200216531754,0.05499241128563881,0.07068975269794464,0.06713101267814636,0.07380133867263794,0.09224533289670944,0.0770367681980133,0.062010765075683594,0.08456504344940186,0.07372312992811203,0.08655334264039993,0.12417496740818024,0.08921580761671066,0.07855525612831116,0.08557390421628952,0.05868329480290413,0.0946071669459343,0.10108530521392822,0.08667276054620743,0.08868476003408432,0.0820414200425148,0.08365654945373535,0.07986710220575333,0.09793634712696075,0.08297645300626755,0.10203568637371063,0.09546840190887451,0.09765971451997757,0.0844140574336052,0.1120985820889473,0.06671494990587234,0.06337393075227737,0.10248097032308578,0.08550713211297989,0.0870053842663765,0.11326274275779724,0.0960073173046112,0.09398719668388367,0.08652561902999878,0.10837370157241821,0.13518692553043365,0.1128375306725502,0.15039917826652527,0.16029636561870575,0.15796025097370148,0.11261934787034988,0.13679559528827667,0.1625588834285736,0.11988286674022675,0.13992927968502045,0.15956653654575348,0.11384506523609161,0.141293466091156,0.16673198342323303,0.11629876494407654,0.1650833934545517,0.13628754019737244,0.11720540374517441,0.1452382504940033,0.12145008891820908,0.13770286738872528,0.15402674674987793,0.1115361750125885,0.18546345829963684,0.12758450210094452,0.11907500773668289,0.15650293231010437,0.12399981170892715,0.18652454018592834
2,0.04737512767314911,0.04179387167096138,0.10146671533584595,0.03633223474025726,0.05928110331296921,0.05622661113739014,0.028530776500701904,0.058274172246456146,0.10458237677812576,0.03217213973402977,0.08156303316354752,0.04693617671728134,0.047289542853832245,0.056500308215618134,0.04949671030044556,0.020564520731568336,0.04746035486459732,0.06457497924566269,0.0599764809012413,0.019076433032751083,0.06495126336812973,0.04597770795226097,0.03541268780827522,0.060014255344867706,0.03704191744327545,0.053051676601171494,0.05974915996193886,0.05521625652909279,0.040209557861089706,0.045569855719804764,0.0641019269824028,0.0651128888130188,0.07217070460319519,0.06954915076494217,0.061569202691316605,0.06254781037569046,0.044495075941085815,0.07416173070669174,0.08005782216787338,0.061844658106565475,0.06907131522893906,0.06442268937826157,0.06311420351266861,0.061849407851696014,0.0672827959060669,0.06197648122906685,0.06664710491895676,0.07216305285692215,0.07148648053407669,0.06785975396633148,0.07498959451913834,0.056445978581905365,0.046069491654634476,0.07792864739894867,0.06508316099643707,0.06597074121236801,0.07427547127008438,0.06736330687999725,0.0693926140666008,0.06427037715911865,0.08210079371929169,0.0924346074461937,0.08689276874065399,0.08068761229515076,0.1247430294752121,0.10467783361673355,0.08097252249717712,0.10260321944952011,0.09844397753477097,0.0992714986205101,0.1012946218252182,0.10734555125236511,0.08603602647781372,0.08716271072626114,0.09392688423395157,0.08952141553163528,0.1234264075756073,0.09291864931583405,0.10108912736177444,0.11164698749780655,0.09521599858999252,0.08881425112485886,0.0980667993426323,0.08670179545879364,0.10484597831964493,0.0857224389910698,0.1000288873910904,0.09827117621898651,0.08470088243484497,0.11429393291473389
3,0.02761177346110344,0.01948222517967224,0.09814950823783875,0.03433883935213089,0.05127295106649399,0.05522659793496132,0.011814429424703121,0.054805245250463486,0.10267190635204315,0.01161247305572033,0.05702735111117363,0.05069800466299057,0.02293100766837597,0.04621846601366997,0.0461137481033802,0.07732129096984863,0.020761800929903984,0.06998564302921295,0.05103927105665207,0.03815095126628876,0.06834523379802704,0.019420139491558075,0.014779188670217991,0.05309690535068512,0.03324829041957855,0.03976653143763542,0.03392784297466278,0.03594474494457245,0.05792936310172081,0.027324829250574112,0.05686819180846214,0.057731181383132935,0.06046188250184059,0.04532875493168831,0.05482419207692146,0.043903570622205734,0.030299322679638863,0.06046854704618454,0.06891251355409622,0.04950230196118355,0.052769050002098083,0.052999768406152725,0.05209798365831375,0.05537014827132225,0.058881279081106186,0.045713335275650024,0.05723021179437637,0.06601908802986145,0.030283009633421898,0.06140078604221344,0.06246725842356682,0.04827125743031502,0.03018951043486595,0.06668855249881744,0.05522538349032402,0.058606065809726715,0.05902772396802902,0.05627273768186569,0.058746516704559326,0.050701241940259933,0.07665861397981644,0.08079103380441666,0.07792939245700836,0.07064612954854965,0.1095544621348381,0.09003394097089767,0.06952948868274689,0.09497412294149399,0.08806627243757248,0.0912185087800026,0.09174544364213943,0.09222482144832611,0.07808680832386017,0.07789675891399384,0.07502277940511703,0.0798567533493042,0.11238770186901093,0.08399929106235504,0.09399756044149399,0.10244516283273697,0.08516339957714081,0.07733794301748276,0.084112249314785,0.07956510782241821,0.0874849185347557,0.077875055372715,0.09015192836523056,0.08549852669239044,0.07716739922761917,0.09294774383306503
4,0.013945980928838253,0.01137267891317606,0.09520726650953293,0.028302252292633057,0.04322605952620506,0.05141530930995941,0.007965769618749619,0.04707995802164078,0.10150513052940369,0.009677056223154068,0.030090609565377235,0.05346108227968216,0.012600828893482685,0.028743978589773178,0.040100593119859695,0.05562962219119072,0.0375736840069294,0.06790409237146378,0.029073350131511688,0.04131317883729935,0.06662815064191818,0.011266138404607773,0.00946731772273779,0.04030586779117584,0.03534345701336861,0.022030923515558243,0.013936837203800678,0.0678841769695282,0.054600805044174194,0.034332506358623505,0.0471937395632267,0.054436612874269485,0.05669810250401497,0.02211061678826809,0.045212507247924805,0.027910897508263588,0.018423451110720634,0.05006296932697296,0.060485441237688065,0.0345316156744957,0.0386919230222702,0.03877664729952812,0.03903813287615776,0.04895826429128647,0.05480019748210907,0.030362891033291817,0.0473666675388813,0.06809676438570023,0.016270386055111885,0.05869507044553757,0.058366529643535614,0.03284880518913269,0.017843060195446014,0.06276688724756241,0.043782591819763184,0.054835475981235504,0.04687868431210518,0.04514186084270477,0.05497542396187782,0.03990666940808296,0.0736762285232544,0.07247468829154968,0.07109011709690094,0.0680701807141304,0.09817086905241013,0.07968496531248093,0.06425224989652634,0.09040538221597672,0.08228820562362671,0.08298099040985107,0.08497725427150726,0.08284665644168854,0.07186206430196762,0.07463547587394714,0.06895309686660767,0.07280310243368149,0.10445359349250793,0.07902004569768906,0.0874025747179985,0.09706579893827438,0.07712121307849884,0.07233726978302002,0.07679209858179092,0.07502137869596481,0.07803750038146973,0.07247211039066315,0.0815916582942009,0.078634113073349,0.07182728499174118,0.08378326147794724
5,0.01655612327158451,0.009097747504711151,0.09251789003610611,0.022849086672067642,0.033876657485961914,0.047658372670412064,0.006578009109944105,0.03851940110325813,0.10078850388526917,0.01475369930267334,0.013860979117453098,0.05287686735391617,0.02292797900736332,0.015686212107539177,0.03285116329789162,0.05278009548783302,0.03368266671895981,0.06696618348360062,0.01139767374843359,0.04082420468330383,0.0661785677075386,0.009424528107047081,0.008092687465250492,0.019546400755643845,0.033655017614364624,0.013414889574050903,0.009596169926226139,0.06386566907167435,0.053138986229896545,0.03308432549238205,0.02871881052851677,0.04998850077390671,0.05322900414466858,0.012115905992686749,0.028782539069652557,0.015693815425038338,0.012948120012879372,0.037965405732393265,0.053151462227106094,0.018196457996964455,0.02324468083679676,0.022217227146029472,0.020587069913744926,0.03871573507785797,0.04999351501464844,0.016309300437569618,0.029883161187171936,0.0688851848244667,0.018466152250766754,0.05587858334183693,0.052644092589616776,0.015207245014607906,0.01203099638223648,0.06032463163137436,0.02774735540151596,0.04770500957965851,0.027830692008137703,0.025404347106814384,0.04946822673082352,0.028150342404842377,0.07107846438884735,0.06598974764347076,0.0661831870675087,0.06672458350658417,0.08914641290903091,0.07202664017677307,0.06147671118378639,0.08661417663097382,0.0774393156170845,0.07430867105722427,0.07844877243041992,0.07609361410140991,0.06686482578516006,0.07235541194677353,0.06600365042686462,0.06734622269868851,0.09574369341135025,0.07552330195903778,0.08049072325229645,0.09222016483545303,0.07055934518575668,0.06886950880289078,0.07218283414840698,0.07141764461994171,0.07199743390083313,0.06853596866130829,0.07496152818202972,0.07398671656847,0.06801528483629227,0.07768488675355911
6,0.020013753324747086,0.007990308105945587,0.09005160629749298,0.018549388274550438,0.0240998025983572,0.04377952963113785,0.005521763116121292,0.02845647931098938,0.10028322786092758,0.012123788706958294,0.010276095941662788,0.052266161888837814,0.05121009051799774,0.010834859684109688,0.024969205260276794,0.05041103810071945,0.03143416345119476,0.06624126434326172,0.021831966936588287,0.04028567299246788,0.06587120145559311,0.008436662144958973,0.0074388375505805016,0.011453814804553986,0.03213031217455864,0.009733583778142929,0.013729225844144821,0.06427671015262604,0.052193962037563324,0.032341308891773224,0.01675962470471859,0.043237801641225815,0.048619594424963,0.009381026029586792,0.016947560012340546,0.011286354623734951,0.01020908635109663,0.02300720475614071,0.044359806925058365,0.011514305137097836,0.013260586187243462,0.05850270017981529,0.01361320074647665,0.025458648800849915,0.04261438548564911,0.010834717191755772,0.013277734629809856,0.06741053611040115,0.01723538152873516,0.05108324810862541,0.040845632553100586,0.019262665882706642,0.009377547539770603,0.05720158666372299,0.019219134002923965,0.03320794552564621,0.04557691141963005,0.04469512403011322,0.03956567123532295,0.02071208879351616,0.06856349110603333,0.0613950751721859,0.06317916512489319,0.06581821292638779,0.08175642788410187,0.06713342666625977,0.05933317914605141,0.08324716985225677,0.07343295961618423,0.06725458055734634,0.07216354459524155,0.07138697057962418,0.06303149461746216,0.07041357457637787,0.06412281841039658,0.06307626515626907,0.08548888564109802,0.07287520915269852,0.07350698858499527,0.08677946031093597,0.06563998758792877,0.06592169404029846,0.06924494355916977,0.06861937046051025,0.06858967244625092,0.06619160622358322,0.07041305303573608,0.07091132551431656,0.06592066586017609,0.07293006777763367
7,0.024532457813620567,0.0072717745788395405,0.08780819922685623,0.01565183699131012,0.017471514642238617,0.039668209850788116,0.004578881897032261,0.020967815071344376,0.09985612332820892,0.01107779797166586,0.00886028353124857,0.05166838318109512,0.04379731044173241,0.009226756170392036,0.027900977060198784,0.048271045088768005,0.030119774863123894,0.06552617996931076,0.039788588881492615,0.03975506126880646,0.06557601690292358,0.007707597687840462,0.006967830937355757,0.009053420275449753,0.03065272979438305,0.008406097069382668,0.0114290751516819,0.06426361948251724,0.05139455571770668,0.03192682936787605,0.013244759291410446,0.03376536816358566,0.043352898210287094,0.008409145288169384,0.01374570932239294,0.016113843768835068,0.008682910352945328,0.014466691762208939,0.031149858608841896,0.009587274864315987,0.009547301568090916,0.05452406778931618,0.03863358125090599,0.017842218279838562,0.03211458399891853,0.008541627787053585,0.03468187898397446,0.06618081033229828,0.016622835770249367,0.04160512238740921,0.025211229920387268,0.01610838808119297,0.008113555610179901,0.05150019749999046,0.02402331866323948,0.017994655296206474,0.03974157199263573,0.036836862564086914,0.025838317349553108,0.017474861815571785,0.06599152833223343,0.058034032583236694,0.06131765618920326,0.06512150168418884,0.07586293667554855,0.06448619067668915,0.057087160646915436,0.08012666553258896,0.07028798758983612,0.0629899799823761,0.06664779782295227,0.06835102289915085,0.05991395562887192,0.0686759501695633,0.06265761703252792,0.059490546584129333,0.0752672329545021,0.07078611850738525,0.06727489084005356,0.07996456325054169,0.06199217960238457,0.06298176944255829,0.067396380007267,0.06663157045841217,0.06679776310920715,0.06497588008642197,0.06755935400724411,0.06888899952173233,0.06498931348323822,0.06899972259998322
8,0.04077545180916786,0.0066988468170166016,0.0857803151011467,0.013817740604281425,0.022793974727392197,0.03525243327021599,0.003780923318117857,0.01761104352772236,0.09944506734609604,0.010550557635724545,0.00805372279137373,0.05108601972460747,0.038884785026311874,0.008519683964550495,0.027170194312930107,0.04630040377378464,0.02926875464618206,0.06481374800205231,0.03733016178011894,0.039240866899490356,0.06528465449810028,0.0070192026905715466,0.0065715075470507145,0.007874605245888233,0.029152486473321915,0.0077440170571208,0.010655131191015244,0.06348946690559387,0.050665080547332764,0.031664732843637466,0.011280708014965057,0.023063678294420242,0.03844813257455826,0.007861074060201645,0.048072706907987595,0.013996466062963009,0.0078113083727657795,0.011091386899352074,0.020031524822115898,0.008630000054836273,0.008247263729572296,0.05066323280334473,0.030577629804611206,0.021187832579016685,0.0231136754155159,0.00735931470990181,0.030816752463579178,0.06507758796215057,0.016122786328196526,0.027722325176000595,0.017479483038187027,0.014705730602145195,0.007467231713235378,0.03962698578834534,0.022873638197779655,0.013152905739843845,0.03725996986031532,0.034931376576423645,0.018135840073227882,0.015405816026031971,0.06328332424163818,0.055045682936906815,0.05979827418923378,0.06456542760133743,0.07116466015577316,0.06305478513240814,0.054513201117515564,0.07711263746023178,0.06794635951519012,0.060292650014162064,0.06233251467347145,0.06648191064596176,0.057032037526369095,0.06714040786027908,0.061319634318351746,0.05616875737905502,0.06839822232723236,0.06911055743694305,0.06229737773537636,0.07173779606819153,0.05890878662467003,0.05972323194146156,0.06621420383453369,0.06534969806671143,0.06586450338363647,0.06431464105844498,0.06586549431085587,0.06749240309000015,0.06458225101232529,0.06562073528766632
9,0.09527193754911423,0.006189310923218727,0.0839470624923706,0.01257395651191473,0.06351558864116669,0.030512824654579163,0.005673008970916271,0.015741394832730293,0.09902536123991013,0.010258051566779613,0.007368651684373617,0.05052034556865692,0.03589561581611633,0.007932999171316624,0.027093704789876938,0.0444808229804039,0.0286493469029665,0.06412994116544724,0.035442158579826355,0.03874928504228592,0.06499685347080231,0.006254830863326788,0.006192259024828672,0.007360787596553564,0.02759336121380329,0.00716615654528141,0.010238369926810265,0.06229338422417641,0.04999437555670738,0.03146418556571007,0.00997473020106554,0.016033845022320747,0.03378669172525406,0.00747637078166008,0.04000755026936531,0.012880673632025719,0.007221890147775412,0.009319965727627277,0.02518753707408905,0.007981757633388042,0.007685117889195681,0.047310661524534225,0.028834551572799683,0.01947331801056862,0.018822966143488884,0.006723516620695591,0.028403162956237793,0.06403693556785583,0.015675030648708344,0.017797566950321198,0.043086256831884384,0.01379693578928709,0.007080459035933018,0.020193375647068024,0.021984197199344635,0.010401323437690735,0.03576212748885155,0.03419512137770653,0.01516286563128233,0.013722195290029049,0.060390882194042206,0.05184125900268555,0.0581555999815464,0.06411422044038773,0.06755273789167404,0.062062717974185944,0.05149686336517334,0.07406579703092575,0.06626322865486145,0.05781077966094017,0.05910666286945343,0.06529474258422852,0.05405386909842491,0.06583110243082047,0.05992677062749863,0.052807386964559555,0.06549576669931412,0.06777272373437881,0.05822957307100296,0.06373641639947891,0.05576403811573982,0.055909741669893265,0.06542827188968658,0.06457468122243881,0.06535723805427551,0.06387361884117126,0.06491000950336456,0.0664573609828949,0.0643787831068039,0.0625879317522049
