Step,vivid-sweep-90,charmed-sweep-89,super-sweep-88,distinctive-sweep-87,denim-sweep-86,lively-sweep-85,solar-sweep-84,rich-sweep-83,restful-sweep-82,electric-sweep-81,driven-sweep-80,northern-sweep-79,curious-sweep-78,devout-sweep-77,good-sweep-76,fragrant-sweep-75,sage-sweep-74,electric-sweep-73,mild-sweep-72,decent-sweep-71,decent-sweep-70,gallant-sweep-69,lucky-sweep-68,frosty-sweep-67,frosty-sweep-66,earthy-sweep-65,misty-sweep-64,giddy-sweep-63,distinctive-sweep-62,crimson-sweep-61,fine-sweep-60,trim-sweep-59,decent-sweep-58,worthy-sweep-57,colorful-sweep-56,wise-sweep-55,hopeful-sweep-54,denim-sweep-53,leafy-sweep-52,apricot-sweep-51,northern-sweep-50,desert-sweep-49,wandering-sweep-48,fast-sweep-47,warm-sweep-46,confused-sweep-45,sparkling-sweep-44,toasty-sweep-43,sweet-sweep-42,vital-sweep-41,ethereal-sweep-40,vital-sweep-39,likely-sweep-38,blooming-sweep-37,dandy-sweep-36,upbeat-sweep-35,wise-sweep-34,eternal-sweep-33,wild-sweep-32,copper-sweep-31,vibrant-sweep-30,super-sweep-29,avid-sweep-28,vivid-sweep-27,still-sweep-26,ruby-sweep-25,grateful-sweep-24,colorful-sweep-23,fragrant-sweep-22,super-sweep-21,comfy-sweep-20,glowing-sweep-19,peachy-sweep-18,curious-sweep-17,sunny-sweep-16,super-sweep-15,earnest-sweep-14,earnest-sweep-13,helpful-sweep-12,apricot-sweep-11,silvery-sweep-10,crisp-sweep-9,genial-sweep-8,denim-sweep-7,revived-sweep-6,peach-sweep-5,quiet-sweep-4,lunar-sweep-3,sunny-sweep-2,bright-sweep-1
0,0.23728759586811066,0.316296249628067,0.4603923559188843,0.24990537762641907,0.29848894476890564,0.3113238513469696,0.12627312541007996,0.25697770714759827,0.4627881944179535,0.1455756276845932,0.3158501088619232,0.43169254064559937,0.23341791331768036,0.22238169610500336,0.524579644203186,0.16740255057811737,0.17792081832885742,0.39843451976776123,0.1360582709312439,0.25776514410972595,0.5844307541847229,0.22392496466636658,0.2672825753688812,0.655159056186676,0.1957969069480896,0.2568051815032959,0.518067479133606,0.16996213793754578,0.3533606231212616,0.6066942811012268,0.37230435013771057,0.431001752614975,0.5827851295471191,0.35821405053138733,0.4206194579601288,0.5554163455963135,0.28349611163139343,0.41074687242507935,0.5772837400436401,0.3261450231075287,0.4600560963153839,0.5417671203613281,0.31732356548309326,0.42599576711654663,0.710303008556366,0.3198913335800171,0.3556789755821228,0.5844472646713257,0.3028126060962677,0.5157595276832581,0.7024344205856323,0.3578399419784546,0.4227997660636902,0.7214943170547485,0.3056187331676483,0.40871474146842957,0.6804465651512146,0.33384206891059875,0.4591389000415802,0.7359722256660461,0.7341372966766357,0.7898190021514893,0.8899045586585999,0.7202774882316589,0.7786464691162109,0.8494284152984619,0.7001396417617798,0.7517557144165039,0.8350495100021362,0.7006263136863708,0.8330672383308411,0.8356278538703918,0.6915993690490723,0.7955089211463928,0.8891539573669434,0.7210211157798767,0.771782398223877,0.8615195155143738,0.7251681685447693,0.7958564758300781,0.8771953582763672,0.7112140655517578,0.7800607681274414,0.8604671359062195,0.7251383662223816,0.7216060757637024,0.877704381942749,0.7089177966117859,0.8102124929428101,0.9011017680168152
1,0.1124841570854187,0.1163039281964302,0.2720477879047394,0.24613569676876068,0.10874917358160019,0.3324953615665436,0.08313777297735214,0.13302291929721832,0.4573155343532562,0.07170426845550537,0.14404353499412537,0.36326393485069275,0.23001931607723236,0.1052001416683197,0.13138258457183838,0.11162387579679489,0.0942060574889183,0.36929264664649963,0.12299446761608124,0.10834375768899918,0.12540023028850555,0.11207401752471924,0.11892835795879364,0.5425803065299988,0.09907668828964233,0.2521314322948456,0.3168383240699768,0.10020486265420914,0.11674317717552185,0.10073544830083847,0.13289572298526764,0.12944400310516357,0.197782501578331,0.15005692839622498,0.13392335176467896,0.11348259449005127,0.11505307257175446,0.1319764405488968,0.2899237275123596,0.11964679509401321,0.14348281919956207,0.5521093606948853,0.1215430274605751,0.13216598331928253,0.18556666374206543,0.12706716358661652,0.11276651918888092,0.24820318818092346,0.17369408905506134,0.13816633820533752,0.14990244805812836,0.14151577651500702,0.1178353950381279,0.23313210904598236,0.11475130170583725,0.14544476568698883,0.24002206325531006,0.1168147400021553,0.13283374905586243,0.1771557629108429,0.3073783814907074,0.3555053174495697,0.5115220546722412,0.28951022028923035,0.3630342483520508,0.46023938059806824,0.2797793447971344,0.334322988986969,0.4289565980434418,0.314351350069046,0.4496205747127533,0.46598851680755615,0.27932414412498474,0.3865702152252197,0.4815691113471985,0.3086690604686737,0.3899233341217041,0.47055837512016296,0.29911914467811584,0.38952648639678955,0.49531781673431396,0.3064059019088745,0.38931387662887573,0.46835482120513916,0.32074642181396484,0.31673040986061096,0.47987955808639526,0.2880232334136963,0.3933892250061035,0.5091514587402344
2,0.07168880850076675,0.14341393113136292,0.21234655380249023,0.2400360256433487,0.05042887479066849,0.2876746356487274,0.015022242441773415,0.13931822776794434,0.4242323040962219,0.07455015927553177,0.09931578487157822,0.29986241459846497,0.22577118873596191,0.03327487036585808,0.13157948851585388,0.06297144293785095,0.057256441563367844,0.32323193550109863,0.12058935314416885,0.12017618864774704,0.08952192217111588,0.11399634182453156,0.07899171859025955,0.4549652338027954,0.03461284562945366,0.24224674701690674,0.28000885248184204,0.05893274024128914,0.07207351177930832,0.10495992004871368,0.11413010209798813,0.12533089518547058,0.13019664585590363,0.15238803625106812,0.11635587364435196,0.12231775373220444,0.09662723541259766,0.10898695886135101,0.16637513041496277,0.10264267772436142,0.12419941276311874,0.5064221024513245,0.1153825968503952,0.12463170289993286,0.19621986150741577,0.119207464158535,0.08904615789651871,0.2554038465023041,0.13474833965301514,0.13517296314239502,0.17536775767803192,0.16033212840557098,0.09984464943408966,0.14134950935840607,0.09134679287672043,0.11512384563684464,0.25868895649909973,0.09984292089939117,0.1227506548166275,0.11023934185504913,0.1580635905265808,0.16149622201919556,0.2613321542739868,0.14382725954055786,0.17508183419704437,0.2381218820810318,0.14606799185276031,0.1652889847755432,0.22590169310569763,0.16101385653018951,0.22316870093345642,0.2608829140663147,0.15241089463233948,0.19333262741565704,0.2378695011138916,0.15990470349788666,0.20084215700626373,0.23705366253852844,0.15089283883571625,0.1903122514486313,0.256045937538147,0.15395814180374146,0.19871072471141815,0.23008891940116882,0.16267770528793335,0.17265817523002625,0.22883178293704987,0.1541992574930191,0.18637272715568542,0.249094620347023
3,0.015141296200454235,0.12979112565517426,0.1630854308605194,0.2337043285369873,0.0061269295401871204,0.24930348992347717,0.05679938942193985,0.13682635128498077,0.3850015699863434,0.07274950295686722,0.05745682120323181,0.2601735591888428,0.22078640758991241,0.06390291452407837,0.13173538446426392,0.0024410642217844725,0.010252797044813633,0.2909092307090759,0.11868052929639816,0.10924436897039413,0.04800765588879585,0.10321671515703201,0.008274964988231659,0.3911309540271759,0.05128278583288193,0.23116645216941833,0.23725640773773193,0.007837911136448383,0.10101692378520966,0.1028694212436676,0.09325111657381058,0.1183994710445404,0.12417114526033401,0.13996577262878418,0.09947112202644348,0.11587147414684296,0.0612608902156353,0.10973243415355682,0.14242877066135406,0.07958506047725677,0.11972873657941818,0.4599774479866028,0.10969807207584381,0.11932022124528885,0.1982307881116867,0.11002755910158157,0.05561957508325577,0.23957118391990662,0.12240342795848846,0.13092182576656342,0.1682569980621338,0.15471337735652924,0.0785890743136406,0.14710888266563416,0.05840713158249855,0.08925697207450867,0.24868877232074738,0.07151398807764053,0.11639703065156937,0.1127285286784172,0.13921964168548584,0.13437247276306152,0.17410658299922943,0.13218408823013306,0.137508824467659,0.2143612504005432,0.1300353705883026,0.13984334468841553,0.2515294551849365,0.133444145321846,0.14774486422538757,0.2765653431415558,0.13732828199863434,0.14770779013633728,0.19935084879398346,0.1359895020723343,0.15021438896656036,0.16875289380550385,0.12929736077785492,0.14318592846393585,0.17193521559238434,0.13454268872737885,0.14540047943592072,0.1604958176612854,0.13470914959907532,0.15095412731170654,0.15751731395721436,0.13518400490283966,0.13793796300888062,0.15863487124443054
4,0.0030173370614647865,0.12199047952890396,0.1340596228837967,0.22734686732292175,0.06896572560071945,0.2192264199256897,0.046870071440935135,0.13543394207954407,0.34337860345840454,0.07102278620004654,0.07100030034780502,0.23696555197238922,0.21518337726593018,0.058998189866542816,0.1302303820848465,0.010727996937930584,0.004008034709841013,0.27151474356651306,0.11725997179746628,0.10346265882253647,0.06159982830286026,0.09307171404361725,0.06564316153526306,0.3510199785232544,0.04512139409780502,0.21943336725234985,0.17848607897758484,0.0565304271876812,0.09259148687124252,0.10179830342531204,0.05553653463721275,0.11442243307828903,0.11759928613901138,0.13113641738891602,0.06850003451108932,0.10994794219732285,0.01687028631567955,0.10828875005245209,0.1296958029270172,0.04374542459845543,0.11338357627391815,0.4151368737220764,0.1044173613190651,0.10704202204942703,0.19880840182304382,0.09368356317281723,0.054981838911771774,0.22597098350524902,0.11574967205524445,0.12778520584106445,0.16105534136295319,0.15058259665966034,0.04734177887439728,0.14080128073692322,0.04087929427623749,0.09501847624778748,0.2399892657995224,0.028067542240023613,0.10727383196353912,0.10494965314865112,0.13567055761814117,0.13141290843486786,0.17794618010520935,0.13072843849658966,0.13157698512077332,0.17227284610271454,0.12618346512317657,0.13457073271274567,0.23681077361106873,0.12501004338264465,0.1359243392944336,0.254861980676651,0.13193932175636292,0.13870824873447418,0.16522738337516785,0.13145290315151215,0.13445086777210236,0.1561078578233719,0.12687565386295319,0.13451579213142395,0.1849033534526825,0.1319703757762909,0.1341640055179596,0.16210047900676727,0.13036513328552246,0.1383911371231079,0.1458939015865326,0.1311202198266983,0.1305343061685562,0.14568589627742767
5,0.0008624515612609684,0.11860201507806778,0.12016094475984573,0.22071972489356995,0.06398852914571762,0.19423164427280426,0.045504096895456314,0.13473883271217346,0.3029513359069824,0.06928298622369766,0.06600311398506165,0.2215474396944046,0.20892131328582764,0.05600449815392494,0.12901178002357483,0.01905324123799801,0.008411750197410583,0.2605034112930298,0.11613943427801132,0.09936878830194473,0.0598333477973938,0.08240204304456711,0.05767741799354553,0.32733339071273804,0.04079069197177887,0.20739100873470306,0.13280390202999115,0.038120195269584656,0.08715524524450302,0.1007610484957695,0.07820802181959152,0.11147718876600266,0.11332037299871445,0.12454400211572647,0.026194559410214424,0.10492860525846481,0.05112464725971222,0.10698197782039642,0.1191427931189537,0.05099168047308922,0.10326523333787918,0.3733474910259247,0.09833930432796478,0.07712315022945404,0.19840598106384277,0.06180844455957413,0.05564458668231964,0.21455605328083038,0.11053019016981125,0.12522782385349274,0.1544550210237503,0.1476336568593979,0.016987422481179237,0.1365704983472824,0.02188752591609955,0.09249141812324524,0.23300401866436005,0.064626544713974,0.09113556146621704,0.10095657408237457,0.13372191786766052,0.12942591309547424,0.16350610554218292,0.12977872788906097,0.12937161326408386,0.14803123474121094,0.12358374148607254,0.13119028508663177,0.22235672175884247,0.11953738331794739,0.13330258429050446,0.23486247658729553,0.13023974001407623,0.13558533787727356,0.15087586641311646,0.12938904762268066,0.12718465924263,0.14839856326580048,0.1233857274055481,0.13164903223514557,0.17099706828594208,0.12923449277877808,0.13092881441116333,0.14953865110874176,0.1283082365989685,0.13404516875743866,0.1449124962091446,0.12869377434253693,0.12893569469451904,0.1361924409866333
6,0.0006120197358541191,0.11725149303674698,0.11042579263448715,0.2136237472295761,0.05893067270517349,0.1709837019443512,0.044210925698280334,0.1343764364719391,0.26513993740081787,0.06747394055128098,0.06264450401067734,0.20849569141864777,0.20187808573246002,0.05415545403957367,0.1279507428407669,0.017797604203224182,0.007206922862678766,0.25350579619407654,0.11517864465713501,0.0962282344698906,0.05844742804765701,0.07029499113559723,0.050682950764894485,0.31220877170562744,0.03720821440219879,0.19534853100776672,0.18752139806747437,0.026337245479226112,0.08370185643434525,0.09975510090589523,0.0764555111527443,0.10857260227203369,0.10944423079490662,0.11902045458555222,0.048318345099687576,0.10075325518846512,0.048468660563230515,0.10557989031076431,0.10759609937667847,0.04213468357920647,0.10586268454790115,0.33557161688804626,0.09144571423530579,0.03235802426934242,0.19719447195529938,0.020540602505207062,0.0493098609149456,0.20474256575107574,0.10516558587551117,0.12297694385051727,0.148636594414711,0.14533406496047974,0.030138865113258362,0.13295452296733856,0.01157652772963047,0.09085424244403839,0.22742491960525513,0.056589554995298386,0.06469608843326569,0.09794171154499054,0.1322583109140396,0.12746064364910126,0.1528073102235794,0.12895703315734863,0.1276717483997345,0.13563300669193268,0.12095630168914795,0.12832750380039215,0.20889373123645782,0.11454009264707565,0.131614089012146,0.2174774408340454,0.12886250019073486,0.13357093930244446,0.14560769498348236,0.1276932805776596,0.12225092202425003,0.1452600061893463,0.12173590809106827,0.12972891330718994,0.16045881807804108,0.12833845615386963,0.12885519862174988,0.14251038432121277,0.1263432651758194,0.1320248693227768,0.13961879909038544,0.12655045092105865,0.12781956791877747,0.13297529518604279
7,0.0005004534032195807,0.1165238469839096,0.10160103440284729,0.205954447388649,0.05439930781722069,0.14873379468917847,0.04296467453241348,0.13414722681045532,0.23160357773303986,0.06558232009410858,0.06005951762199402,0.1962074339389801,0.19385553896427155,0.05277065187692642,0.1269492655992508,0.016788197681307793,0.0069313026033341885,0.2478477954864502,0.11429745703935623,0.09351345896720886,0.05741356685757637,0.05628795921802521,0.045083027333021164,0.3008379340171814,0.03371776267886162,0.1836082935333252,0.17036081850528717,0.01929020695388317,0.08130495995283127,0.09877367317676544,0.07505470514297485,0.10529232770204544,0.10523449629545212,0.11329437792301178,0.04452149197459221,0.0972653329372406,0.04557587578892708,0.10405109822750092,0.09291812777519226,0.034377459436655045,0.09932810813188553,0.30233657360076904,0.0834503248333931,0.04523796960711479,0.195238396525383,0.004350176081061363,0.04267798736691475,0.19600540399551392,0.0986400693655014,0.12090253829956055,0.14366789162158966,0.14335256814956665,0.02406434342265129,0.12989363074302673,0.029244273900985718,0.08955162018537521,0.22274120151996613,0.05134883522987366,0.03688285872340202,0.09514462947845459,0.13108155131340027,0.12540215253829956,0.1452758014202118,0.12815895676612854,0.1261093020439148,0.1298666149377823,0.11803971230983734,0.1257699728012085,0.19669124484062195,0.10932372510433197,0.13016828894615173,0.20297153294086456,0.1274716854095459,0.1319047510623932,0.14341238141059875,0.1260519027709961,0.11788889020681381,0.14288227260112762,0.12023282796144485,0.12801790237426758,0.15297353267669678,0.1277637928724289,0.1269175112247467,0.13885928690433502,0.12434562295675278,0.13072466850280762,0.1367136836051941,0.12446217238903046,0.12663519382476807,0.13174018263816833
8,0.00042232105624862015,0.11591238528490067,0.09263478964567184,0.1976909190416336,0.05038563534617424,0.1287752091884613,0.041783399879932404,0.1339612603187561,0.20380918681621552,0.06361083686351776,0.0577910840511322,0.18443064391613007,0.18459898233413696,0.0515361949801445,0.12596604228019714,0.015976885333657265,0.006764945574104786,0.24231190979480743,0.11345440149307251,0.09085963666439056,0.05661347135901451,0.04083198681473732,0.04067167639732361,0.2911330461502075,0.030267469584941864,0.17246948182582855,0.1612270027399063,0.015160363167524338,0.07941531389951706,0.09780828654766083,0.07402923703193665,0.10149391740560532,0.10035419464111328,0.10612965375185013,0.04156475514173508,0.09428220242261887,0.04285044968128204,0.10238359868526459,0.07448537647724152,0.02720075286924839,0.09001270681619644,0.27379289269447327,0.07341107726097107,0.03958497568964958,0.19285866618156433,0.016191137954592705,0.0358399972319603,0.1879858672618866,0.08974497020244598,0.11890847235918045,0.13953518867492676,0.1415262222290039,0.021710285916924477,0.1273377239704132,0.023546898737549782,0.0883011445403099,0.21843980252742767,0.048104505985975266,0.040993113070726395,0.0923067033290863,0.1300954669713974,0.12319615483283997,0.14010001718997955,0.12733379006385803,0.1245732456445694,0.12727682292461395,0.11466629058122635,0.12341847270727158,0.18589341640472412,0.1035299301147461,0.12881135940551758,0.19131872057914734,0.12599068880081177,0.13039477169513702,0.1420174241065979,0.12435939162969589,0.11340226978063583,0.14073975384235382,0.11866110563278198,0.12631365656852722,0.1478791981935501,0.12723784148693085,0.12486124783754349,0.13698580861091614,0.12231729924678802,0.12963800132274628,0.13482797145843506,0.12227559834718704,0.12532736361026764,0.1310291588306427
9,0.00036802346585318446,0.11529706418514252,0.08262600749731064,0.18887567520141602,0.04684915766119957,0.11222504824399948,0.040692038834095,0.133784219622612,0.1827077865600586,0.06156672537326813,0.05566743388772011,0.17302721738815308,0.17387011647224426,0.050335485488176346,0.124985471367836,0.015277387574315071,0.0066154832020401955,0.23642295598983765,0.1126265898346901,0.0880814865231514,0.05595919489860535,0.025922784581780434,0.037236493080854416,0.28223204612731934,0.026882581412792206,0.1622079610824585,0.15553715825080872,0.012747729197144508,0.07772839069366455,0.09685182571411133,0.07323307543992996,0.09709981083869934,0.09453769773244858,0.09681955724954605,0.03942475840449333,0.09163802862167358,0.04031888395547867,0.10056862980127335,0.054224323481321335,0.020819278433918953,0.07504460215568542,0.24977625906467438,0.060385145246982574,0.03613077849149704,0.19022297859191895,0.014244011603295803,0.029152167961001396,0.18048222362995148,0.07735494524240494,0.11691373586654663,0.1361703872680664,0.13979113101959229,0.020097922533750534,0.12520931661128998,0.021981529891490936,0.0869964212179184,0.21411481499671936,0.04596741870045662,0.0344875305891037,0.08929088711738586,0.12922964990139008,0.1207914650440216,0.1365605592727661,0.12643945217132568,0.12297501415014267,0.12598752975463867,0.11069584637880325,0.12119007855653763,0.17654497921466827,0.09688861668109894,0.1274576038122177,0.18227721750736237,0.12436968088150024,0.12893801927566528,0.1408001184463501,0.12255078554153442,0.10836808383464813,0.13878551125526428,0.11693155765533447,0.12448559701442719,0.14453786611557007,0.12670566141605377,0.12249800562858582,0.13596148788928986,0.12025557458400726,0.12859952449798584,0.13344690203666687,0.11984340101480484,0.12387595325708389,0.13044461607933044
